Time stamp,AC-power 1,AC-power 2,AC-power 3,Sum, 24 kW PV plant
2016-01-01 08:10:00,0,0,0,0,0
2016-01-01 08:20:00,0,0,0,0,0
2016-01-01 08:30:00,0,0,0,0,0
2016-01-01 08:40:00,0,0,0,0,0
2016-01-01 08:50:00,0,0,0,0,0
2016-01-01 09:00:00,3,0,4,7,42
2016-01-01 09:10:00,11,0,13,24,144
2016-01-01 09:20:00,16,6,25,47,282
2016-01-01 09:30:00,14,23,46,83,498
2016-01-01 09:40:00,37,36,71,144,864
2016-01-01 09:50:00,33,100,105,238,1428
2016-01-01 10:00:00,41,138,153,332,1992
2016-01-01 10:10:00,26,83,92,201,1206
2016-01-01 10:20:00,36,44,64,144,864
2016-01-01 10:30:00,30,43,67,140,840
2016-01-01 10:40:00,43,84,96,223,1338
2016-01-01 10:50:00,32,83,100,215,1290
2016-01-01 11:00:00,227,216,238,681,4086
2016-01-01 11:10:00,118,59,263,440,2640
2016-01-01 11:20:00,118,52,222,392,2352
2016-01-01 11:30:00,90,124,143,357,2142
2016-01-01 11:40:00,214,165,183,562,3372
2016-01-01 11:50:00,98,116,135,349,2094
2016-01-01 12:00:00,0,141,153,294,1764
2016-01-01 12:10:00,23,122,125,270,1620
2016-01-01 12:20:00,50,63,87,200,1200
2016-01-01 12:30:00,24,48,73,145,870
2016-01-01 12:40:00,15,6,19,40,240
2016-01-01 12:50:00,4,2,5,11,66
2016-01-01 13:00:00,4,2,6,12,72
2016-01-01 13:10:00,6,3,5,14,84
2016-01-01 13:20:00,5,8,12,25,150
2016-01-01 13:30:00,13,12,31,56,336
2016-01-01 13:40:00,18,14,40,72,432
2016-01-01 13:50:00,22,16,48,86,516
2016-01-01 14:00:00,49,35,79,163,978
2016-01-01 14:10:00,31,50,86,167,1002
2016-01-01 14:20:00,30,53,66,149,894
2016-01-01 14:30:00,26,14,52,92,552
2016-01-01 14:40:00,14,15,37,66,396
2016-01-01 14:50:00,11,12,29,52,312
2016-01-01 15:00:00,27,10,41,78,468
2016-01-01 15:10:00,11,2,15,28,168
2016-01-01 15:20:00,4,1,7,12,72
2016-01-01 15:30:00,2,0,3,5,30
2016-01-01 15:40:00,0,0,0,0,0
2016-01-01 15:50:00,0,0,0,0,0
2016-01-01 16:00:00,0,0,0,0,0
2016-01-02 08:20:00,0,0,0,0,0
2016-01-02 08:30:00,0,0,0,0,0
2016-01-02 08:40:00,0,0,0,0,0
2016-01-02 08:50:00,0,0,0,0,0
2016-01-02 09:00:00,0,0,0,0,0
2016-01-02 09:10:00,0,0,0,0,0
2016-01-02 09:20:00,0,0,0,0,0
2016-01-02 09:30:00,0,0,0,0,0
2016-01-02 09:40:00,0,0,0,0,0
2016-01-02 09:50:00,6,0,7,13,78
2016-01-02 10:00:00,5,1,9,15,90
2016-01-02 10:10:00,15,7,23,45,270
2016-01-02 10:20:00,12,4,17,33,198
2016-01-02 10:30:00,11,0,12,23,138
2016-01-02 10:40:00,10,1,13,24,144
2016-01-02 10:50:00,12,2,17,31,186
2016-01-02 11:00:00,9,4,9,22,132
2016-01-02 11:10:00,11,4,14,29,174
2016-01-02 11:20:00,10,13,30,53,318
2016-01-02 11:30:00,8,19,37,64,384
2016-01-02 11:40:00,21,13,39,73,438
2016-01-02 11:50:00,26,3,28,57,342
2016-01-02 12:00:00,31,2,33,66,396
2016-01-02 12:10:00,17,4,23,44,264
2016-01-02 12:20:00,13,7,23,43,258
2016-01-02 12:30:00,19,5,25,49,294
2016-01-02 12:40:00,23,5,34,62,372
2016-01-02 12:50:00,49,18,62,129,774
2016-01-02 13:00:00,38,30,64,132,792
2016-01-02 13:10:00,33,36,69,138,828
2016-01-02 13:20:00,29,21,50,100,600
2016-01-02 13:30:00,19,31,52,102,612
2016-01-02 13:40:00,20,31,46,97,582
2016-01-02 13:50:00,12,13,32,57,342
2016-01-02 14:00:00,17,9,28,54,324
2016-01-02 14:10:00,14,7,24,45,270
2016-01-02 14:20:00,18,4,23,45,270
2016-01-02 14:30:00,15,2,21,38,228
2016-01-02 14:40:00,10,0,12,22,132
2016-01-02 14:50:00,10,0,11,21,126
2016-01-02 15:00:00,7,0,7,14,84
2016-01-02 15:10:00,4,0,5,9,54
2016-01-02 15:20:00,0,0,0,0,0
2016-01-02 15:30:00,0,0,0,0,0
2016-01-02 15:40:00,0,0,0,0,0
2016-01-02 15:50:00,0,0,0,0,0
2016-01-02 16:00:00,0,0,0,0,0
2016-01-02 16:10:00,0,0,0,0,0
2016-01-03 08:10:00,0,0,0,0,0
2016-01-03 08:20:00,0,0,0,0,0
2016-01-03 08:30:00,0,0,0,0,0
2016-01-03 08:40:00,0,0,0,0,0
2016-01-03 08:50:00,1,0,1,2,12
2016-01-03 09:00:00,5,1,13,19,114
2016-01-03 09:10:00,14,2,24,40,240
2016-01-03 09:20:00,26,5,34,65,390
2016-01-03 09:30:00,38,8,45,91,546
2016-01-03 09:40:00,41,19,56,116,696
2016-01-03 09:50:00,47,38,76,161,966
2016-01-03 10:00:00,152,115,176,443,2658
2016-01-03 10:10:00,254,222,242,718,4308
2016-01-03 10:20:00,358,326,347,1031,6186
2016-01-03 10:30:00,225,198,212,635,3810
2016-01-03 10:40:00,354,320,343,1017,6102
2016-01-03 10:50:00,356,317,341,1014,6084
2016-01-03 11:00:00,324,290,312,926,5556
2016-01-03 11:10:00,282,251,272,805,4830
2016-01-03 11:20:00,242,214,232,688,4128
2016-01-03 11:30:00,226,198,218,642,3852
2016-01-03 11:40:00,208,180,199,587,3522
2016-01-03 11:50:00,215,187,206,608,3648
2016-01-03 12:00:00,233,205,223,661,3966
2016-01-03 12:10:00,237,210,228,675,4050
2016-01-03 12:20:00,238,209,227,674,4044
2016-01-03 12:30:00,269,243,261,773,4638
2016-01-03 12:40:00,413,386,410,1209,7254
2016-01-03 12:50:00,476,445,472,1393,8358
2016-01-03 13:00:00,573,531,558,1662,9972
2016-01-03 13:10:00,533,497,520,1550,9300
2016-01-03 13:20:00,471,437,459,1367,8202
2016-01-03 13:30:00,450,421,446,1317,7902
2016-01-03 13:40:00,391,360,381,1132,6792
2016-01-03 13:50:00,339,309,330,978,5868
2016-01-03 14:00:00,286,258,279,823,4938
2016-01-03 14:10:00,225,197,216,638,3828
2016-01-03 14:20:00,165,139,156,460,2760
2016-01-03 14:30:00,123,96,113,332,1992
2016-01-03 14:40:00,73,51,75,199,1194
2016-01-03 14:50:00,29,6,38,73,438
2016-01-03 15:00:00,27,5,34,66,396
2016-01-03 15:10:00,17,2,22,41,246
2016-01-03 15:20:00,8,1,11,20,120
2016-01-03 15:30:00,4,0,5,9,54
2016-01-03 15:40:00,0,0,0,0,0
2016-01-03 15:50:00,0,0,0,0,0
2016-01-03 16:00:00,0,0,0,0,0
2016-01-03 16:10:00,0,0,0,0,0
2016-01-03 16:20:00,0,0,0,0,0
2016-01-04 08:10:00,0,0,0,0,0
2016-01-04 08:20:00,0,0,0,0,0
2016-01-04 08:30:00,0,0,0,0,0
2016-01-04 08:40:00,0,0,0,0,0
2016-01-04 08:50:00,7,0,7,14,84
2016-01-04 09:00:00,12,0,17,29,174
2016-01-04 09:10:00,21,0,22,43,258
2016-01-04 09:20:00,35,3,38,76,456
2016-01-04 09:30:00,57,22,71,150,900
2016-01-04 09:40:00,59,36,90,185,1110
2016-01-04 09:50:00,49,96,111,256,1536
2016-01-04 10:00:00,110,135,156,401,2406
2016-01-04 10:10:00,210,181,197,588,3528
2016-01-04 10:20:00,297,264,283,844,5064
2016-01-04 10:30:00,278,247,265,790,4740
2016-01-04 10:40:00,378,344,367,1089,6534
2016-01-04 10:50:00,348,316,339,1003,6018
2016-01-04 11:00:00,302,270,290,862,5172
2016-01-04 11:10:00,281,250,270,801,4806
2016-01-04 11:20:00,259,229,248,736,4416
2016-01-04 11:30:00,233,206,224,663,3978
2016-01-04 11:40:00,234,203,221,658,3948
2016-01-04 11:50:00,232,205,223,660,3960
2016-01-04 12:00:00,233,208,225,666,3996
2016-01-04 12:10:00,232,207,224,663,3978
2016-01-04 12:20:00,240,216,231,687,4122
2016-01-04 12:30:00,256,231,246,733,4398
2016-01-04 12:40:00,394,363,383,1140,6840
2016-01-04 12:50:00,520,489,508,1517,9102
2016-01-04 13:00:00,569,532,553,1654,9924
2016-01-04 13:10:00,546,505,534,1585,9510
2016-01-04 13:20:00,388,356,378,1122,6732
2016-01-04 13:30:00,330,299,321,950,5700
2016-01-04 13:40:00,324,291,313,928,5568
2016-01-04 13:50:00,300,268,289,857,5142
2016-01-04 14:00:00,283,251,272,806,4836
2016-01-04 14:10:00,232,203,220,655,3930
2016-01-04 14:20:00,178,152,165,495,2970
2016-01-04 14:30:00,133,109,117,359,2154
2016-01-04 14:40:00,40,94,113,247,1482
2016-01-04 14:50:00,47,26,71,144,864
2016-01-04 15:00:00,35,14,64,113,678
2016-01-04 15:10:00,29,14,47,90,540
2016-01-04 15:20:00,22,6,31,59,354
2016-01-04 15:30:00,8,1,12,21,126
2016-01-04 15:40:00,3,0,4,7,42
2016-01-04 15:50:00,0,0,0,0,0
2016-01-04 16:00:00,0,0,0,0,0
2016-01-04 16:10:00,0,0,0,0,0
2016-01-04 16:20:00,0,0,0,0,0
2016-01-05 08:10:00,0,0,0,0,0
2016-01-05 08:20:00,0,0,0,0,0
2016-01-05 08:30:00,0,0,0,0,0
2016-01-05 08:40:00,0,0,0,0,0
2016-01-05 08:50:00,0,0,0,0,0
2016-01-05 09:00:00,0,0,0,0,0
2016-01-05 09:10:00,0,0,0,0,0
2016-01-05 09:20:00,0,0,0,0,0
2016-01-05 09:30:00,0,0,0,0,0
2016-01-05 09:40:00,0,0,0,0,0
2016-01-05 09:50:00,0,0,1,1,6
2016-01-05 10:00:00,3,0,5,8,48
2016-01-05 10:10:00,10,2,12,24,144
2016-01-05 10:20:00,16,4,20,40,240
2016-01-05 10:30:00,26,6,33,65,390
2016-01-05 10:40:00,25,3,29,57,342
2016-01-05 10:50:00,22,5,29,56,336
2016-01-05 11:00:00,32,11,42,85,510
2016-01-05 11:10:00,30,9,44,83,498
2016-01-05 11:20:00,49,54,75,178,1068
2016-01-05 11:30:00,25,114,120,259,1554
2016-01-05 11:40:00,15,127,143,285,1710
2016-01-05 11:50:00,103,95,190,388,2328
2016-01-05 12:00:00,164,105,161,430,2580
2016-01-05 12:10:00,87,84,125,296,1776
2016-01-05 12:20:00,74,120,152,346,2076
2016-01-05 12:30:00,59,124,172,355,2130
2016-01-05 12:40:00,25,142,172,339,2034
2016-01-05 12:50:00,10,141,159,310,1860
2016-01-05 13:00:00,74,114,142,330,1980
2016-01-05 13:10:00,61,96,122,279,1674
2016-01-05 13:20:00,336,306,326,968,5808
2016-01-05 13:30:00,462,433,455,1350,8100
2016-01-05 13:40:00,194,169,186,549,3294
2016-01-05 13:50:00,61,57,95,213,1278
2016-01-05 14:00:00,76,65,115,256,1536
2016-01-05 14:10:00,145,125,157,427,2562
2016-01-05 14:20:00,170,145,161,476,2856
2016-01-05 14:30:00,131,111,124,366,2196
2016-01-05 14:40:00,98,76,90,264,1584
2016-01-05 14:50:00,62,36,50,148,888
2016-01-05 15:00:00,16,23,45,84,504
2016-01-05 15:10:00,9,22,42,73,438
2016-01-05 15:20:00,8,16,34,58,348
2016-01-05 15:30:00,11,6,18,35,210
2016-01-05 15:40:00,5,3,7,15,90
2016-01-05 15:50:00,0,0,0,0,0
2016-01-05 16:00:00,0,0,0,0,0
2016-01-05 16:10:00,0,0,0,0,0
2016-01-05 16:20:00,0,0,0,0,0
2016-01-06 08:10:00,0,0,0,0,0
2016-01-06 08:20:00,0,0,0,0,0
2016-01-06 08:30:00,0,0,0,0,0
2016-01-06 08:40:00,0,0,0,0,0
2016-01-06 08:50:00,0,0,0,0,0
2016-01-06 09:00:00,1,0,2,3,18
2016-01-06 09:10:00,9,1,12,22,132
2016-01-06 09:20:00,9,9,25,43,258
2016-01-06 09:30:00,19,12,35,66,396
2016-01-06 09:40:00,26,24,62,112,672
2016-01-06 09:50:00,28,40,75,143,858
