Interval End Time,demand
2016-05-01 00:15,12.48
2016-05-01 00:30,14.16
2016-05-01 00:45,17.04
2016-05-01 01:00,15.84
2016-05-01 01:15,15.12
2016-05-01 01:30,16.56
2016-05-01 01:45,15.36
2016-05-01 02:00,15.12
2016-05-01 02:15,15.84
2016-05-01 02:30,16.08
2016-05-01 02:45,15.6
2016-05-01 03:00,15.12
2016-05-01 03:15,17.04
2016-05-01 03:30,15.84
2016-05-01 03:45,15.6
2016-05-01 04:00,17.28
2016-05-01 04:15,17.76
2016-05-01 04:30,16.56
2016-05-01 04:45,17.52
2016-05-01 05:00,18
2016-05-01 05:15,17.52
2016-05-01 05:30,16.08
2016-05-01 05:45,18.48
2016-05-01 06:00,15.36
2016-05-01 06:15,14.4
2016-05-01 06:30,15.84
2016-05-01 06:45,17.76
2016-05-01 07:00,17.76
2016-05-01 07:15,16.8
2016-05-01 07:30,18
2016-05-01 07:45,17.04
2016-05-01 08:00,14.4
2016-05-01 08:15,14.64
2016-05-01 08:30,14.4
2016-05-01 08:45,14.16
2016-05-01 09:00,15.36
2016-05-01 09:15,14.64
2016-05-01 09:30,12.48
2016-05-01 09:45,12.72
2016-05-01 10:00,12.48
2016-05-01 10:15,10.56
2016-05-01 10:30,9.84
2016-05-01 10:45,8.16
2016-05-01 11:00,10.8
2016-05-01 11:15,9.6
2016-05-01 11:30,11.28
2016-05-01 11:45,9.6
2016-05-01 12:00,5.28
2016-05-01 12:15,6.48
2016-05-01 12:30,7.68
2016-05-01 12:45,6.96
2016-05-01 13:00,8.88
2016-05-01 13:15,6.24
2016-05-01 13:30,5.52
2016-05-01 13:45,6.96
2016-05-01 14:00,7.92
2016-05-01 14:15,8.16
2016-05-01 14:30,7.44
2016-05-01 14:45,6.24
2016-05-01 15:00,6.24
2016-05-01 15:15,6.24
2016-05-01 15:30,7.44
2016-05-01 15:45,8.88
2016-05-01 16:00,8.88
2016-05-01 16:15,8.88
2016-05-01 16:30,7.2
2016-05-01 16:45,6.72
2016-05-01 17:00,6.96
2016-05-01 17:15,7.2
2016-05-01 17:30,7.2
2016-05-01 17:45,6.24
2016-05-01 18:00,7.44
2016-05-01 18:15,7.92
2016-05-01 18:30,7.68
2016-05-01 18:45,8.88
2016-05-01 19:00,8.64
2016-05-01 19:15,7.2
2016-05-01 19:30,8.4
2016-05-01 19:45,10.08
2016-05-01 20:00,10.32
2016-05-01 20:15,9.36
2016-05-01 20:30,8.88
2016-05-01 20:45,7.92
2016-05-01 21:00,8.88
2016-05-01 21:15,12.96
2016-05-01 21:30,13.44
2016-05-01 21:45,12.48
2016-05-01 22:00,11.76
2016-05-01 22:15,11.52
2016-05-01 22:30,9.36
2016-05-01 22:45,9.6
2016-05-01 23:00,11.76
2016-05-01 23:15,12.24
2016-05-01 23:30,15.36
2016-05-01 23:45,12.96
2016-05-02 00:00,11.52
2016-05-02 00:15,14.4
2016-05-02 00:30,12.96
2016-05-02 00:45,12.24
2016-05-02 01:00,12.96
2016-05-02 01:15,12.48
2016-05-02 01:30,11.04
2016-05-02 01:45,11.04
2016-05-02 02:00,11.04
2016-05-02 02:15,11.04
2016-05-02 02:30,12.48
2016-05-02 02:45,12.24
2016-05-02 03:00,11.04
2016-05-02 03:15,12
2016-05-02 03:30,11.76
2016-05-02 03:45,12.48
2016-05-02 04:00,11.76
2016-05-02 04:15,11.52
2016-05-02 04:30,12.48
2016-05-02 04:45,13.2
2016-05-02 05:00,11.52
2016-05-02 05:15,12.24
2016-05-02 05:30,12.72
2016-05-02 05:45,10.8
2016-05-02 06:00,11.28
2016-05-02 06:15,13.68
2016-05-02 06:30,18.24
2016-05-02 06:45,18
2016-05-02 07:00,16.08
2016-05-02 07:15,13.2
2016-05-02 07:30,14.16
2016-05-02 07:45,12.48
2016-05-02 08:00,8.16
2016-05-02 08:15,6
